"directorio","secuencia_p","orden","sex","age","relab","y_total_m","ocu","totalHoursWorked","p6210","sizeFirm","informal","fex_c"
4514331,1,1,1,36,2,1620833.25,1,45,5,5,0,254.687742271476
4514333,1,1,1,51,1,1378973.375,1,48,6,3,0,194.208921972393
4514334,1,1,1,45,1,883357,1,56,3,2,0,243.45515246432
4514335,1,1,1,61,1,7e+05,1,40,3,4,1,230.177656890553
4514338,1,2,0,35,2,1941500.125,1,48,6,5,0,341.979787849128
4514339,1,1,0,35,1,1083000,1,40,5,5,0,352.079215448786
4514339,1,2,1,39,1,1616333.375,1,44,6,5,0,352.079215448786
4514342,1,2,1,29,4,1e+06,1,40,6,1,1,254.687742271476
4514343,1,1,1,29,1,779000,1,54,5,2,0,429.27183342678
4514344,1,2,0,44,4,3e+05,1,42,4,1,1,205.425424579072
4514348,1,1,0,56,1,820857,1,48,3,5,0,347.558417964202
4514349,1,3,1,23,1,882333.4375,1,40,6,5,0,243.471239664797
4514349,1,2,1,30,1,949806.6875,1,54,5,3,0,243.471239664797
4514350,1,1,0,50,4,6e+05,1,48,6,1,1,254.687742271476
4514350,1,2,1,28,1,949806.6875,1,48,6,5,0,254.687742271476
4514351,1,1,0,54,4,1500000,1,66,4,2,1,241.981809536919
4514352,1,2,1,36,1,3e+05,1,16,5,2,1,258.629844712917
4514353,1,1,0,53,4,60000,1,40,4,1,1,201.182391770539
4514354,1,2,0,33,1,1591500,1,48,6,3,0,200.904627094488
4514354,1,1,1,38,1,795883.6875,1,48,5,5,0,200.904627094488
4514357,1,1,0,51,1,1083333.375,1,45,5,4,0,243.471239664797
4514359,1,1,1,43,1,3633333.25,1,48,6,5,0,144.946604279989
4514360,1,2,1,47,4,1300000,1,70,5,1,0,254.121161167727
4514360,1,1,0,41,2,1659806.625,1,40,5,5,0,254.121161167727
4514361,1,2,0,31,1,826883.6875,1,48,5,4,0,288.196672672141
4514361,1,3,1,36,1,825800.375,1,48,4,4,0,288.196672672141
4514363,2,1,0,50,1,910333.4375,1,48,5,5,0,234.707409371681
4514364,1,2,0,42,3,1087000,1,48,5,1,0,330.763285242449
4514364,1,1,1,45,1,1500000,1,45,3,3,0,330.763285242449
4514364,1,3,1,20,1,786000,1,60,6,5,0,330.763285242449
4514365,1,1,1,49,1,1283140,1,48,5,4,0,263.1506421975
4514366,1,1,0,47,4,2e+05,1,9,5,1,1,337.736755040595
4514367,1,1,1,24,4,850000,1,60,5,1,1,247.124525678539
4514368,1,2,1,27,1,1333140,1,42,6,5,0,254.687742271476
4514369,1,3,0,24,1,3050000,1,40,6,4,0,131.653021505745
4514369,1,1,0,47,1,2283333.25,1,84,6,5,0,131.653021505745
4514369,1,2,1,55,4,1800000,1,48,4,1,0,131.653021505745
4514370,2,2,1,21,1,350000,1,15,6,3,1,234.707409371681
4514371,1,1,1,29,1,820857,1,48,5,2,1,263.1506421975
4514372,1,1,0,63,4,5e+05,1,48,5,1,1,258.352080036866
4514374,1,2,1,35,1,1513140,1,56,3,5,0,250.166944786892
4514374,1,1,0,56,1,882333.4375,1,48,5,5,0,250.166944786892
4514375,1,1,0,53,1,1275000,1,48,5,5,0,201.182391770539
4514375,1,2,0,23,1,1625000,1,48,6,5,0,201.182391770539
4514376,1,1,1,41,1,820857,1,49,5,3,0,242.904658561048
4514377,1,1,0,32,1,820857,1,48,5,5,1,337.736755040595
4514378,1,1,1,62,1,1200000,1,84,3,2,1,234.119759331995
4514379,1,1,1,24,1,1693140,1,48,6,5,0,326.520252433916
4514380,1,2,0,43,2,3150000,1,30,6,5,0,218.961154283874
4514380,1,1,1,55,2,2925000,1,30,6,5,0,218.961154283874
4514381,1,1,0,73,3,737717,1,40,3,1,0,254.386811904384
4514382,1,2,1,51,1,1e+06,1,48,4,2,1,258.629844712917
4514382,1,1,0,76,4,80000,1,30,3,1,1,258.629844712917
4514383,1,3,1,47,4,5e+05,1,60,5,1,1,238.362792140527
4514384,1,3,0,56,4,180000,1,8,5,1,1,207.886713774121
4514384,1,8,0,47,1,882523.6875,1,48,5,5,0,207.886713774121
4514384,1,6,0,29,1,1087140,1,40,5,4,0,207.886713774121
4514387,1,1,1,63,5,6e+06,1,48,5,2,1,267.929620099751
4514387,1,3,0,25,3,741473.3125,1,60,5,1,0,267.929620099751
4514387,2,1,1,32,4,1e+06,1,50,6,1,0,267.929620099751
4514388,1,2,0,24,1,935166.6875,1,48,5,5,0,213.888324505096
4514388,1,1,1,27,1,941166.6875,1,48,5,5,0,213.888324505096
4514390,1,1,1,52,2,8977084,1,45,6,5,0,213.911490196137
4514390,1,2,0,52,2,6018333.5,1,45,6,5,0,213.911490196137
4514390,1,4,1,25,1,1461473.375,1,48,6,5,0,213.911490196137
4514391,1,1,0,53,4,980000,1,48,3,1,1,241.981809536919
4514391,1,2,0,30,1,2166666.75,1,48,6,4,0,241.981809536919
4514395,1,3,0,19,1,916666.6875,1,48,6,5,0,193.642340868644
4514395,1,1,0,37,1,889357,1,48,6,5,0,193.642340868644
4514395,1,4,0,18,1,1008333.3125,1,48,6,3,0,193.642340868644
4514397,1,2,0,39,4,737717,1,20,6,2,1,341.979787849128
4514397,1,1,1,41,1,5416666.5,1,48,6,5,0,341.979787849128
4514398,1,3,0,33,1,650000,1,30,6,3,0,250.166944786892
4514401,1,1,1,59,4,750000,1,30,6,1,1,238.640556816578
4514402,1,2,1,49,4,66666.6640625,1,70,5,1,1,205.425424579072
4514402,1,1,0,53,1,849857,1,48,5,5,0,205.425424579072
4514403,1,1,0,60,3,737717,1,45,3,1,1,180.336644155007
4514404,1,3,1,27,4,120000,1,9,6,1,1,250.166944786892
4514404,1,2,0,43,2,1602000,1,30,6,5,0,250.166944786892
4514404,1,1,0,62,1,780000,1,48,5,3,1,250.166944786892
4514405,1,1,1,47,1,3200000,1,60,5,3,1,254.687742271476
4514406,1,2,1,18,1,3e+05,1,15,6,2,1,228.011704249585
4514406,1,1,0,44,1,7e+05,1,10,6,3,0,228.011704249585
4514409,1,1,0,42,4,8e+05,1,40,5,1,1,207.728564476718
4514409,1,2,1,23,1,8e+05,1,80,5,2,1,207.728564476718
4514410,1,2,1,38,1,3201666.75,1,84,4,5,0,352.079215448786
4514411,1,3,1,22,1,766883.6875,1,48,5,5,0,194.208921972393
4514411,1,4,0,21,1,737717,1,48,5,2,0,194.208921972393
4514411,1,1,1,47,1,766883.6875,1,48,5,4,0,194.208921972393
4514411,1,2,0,50,1,798967.0625,1,48,5,5,0,194.208921972393
