"log_w","poly(age, 3, raw = TRUE).1","poly(age, 3, raw = TRUE).2","poly(age, 3, raw = TRUE).3","total_hours_worked","relab","p6210","size_firm","informal","poly(exper_yrs, 3, raw = TRUE).1","poly(exper_yrs, 3, raw = TRUE).2","poly(exper_yrs, 3, raw = TRUE).3","female","pred_in","resid_in","h_ii","loo_resid","loo_sqerr"
 4.43,    54,  2916,157464, 8,"4",6,1,"1",    5.00,   25.00,  125.00,1,12.92,-8.49,0,-8.50,72.30
 8.52,    38,  1444, 54872, 8,"4",6,1,"1",    1.00,    1.00,    1.00,1,12.83,-4.31,0,-4.32,18.64
11.29,    59,  3481,205379,48,"4",6,5,"0",   26.00,  676.00,17576.00,1,14.61,-3.32,0,-3.33,11.09
11.11,    49,  2401,117649,70,"4",5,1,"1",   10.00,  100.00, 1000.00,0,14.10,-2.99,0,-3.00, 8.98
 9.90,    25,   625, 15625,20,"4",6,1,"1",    3.00,    9.00,   27.00,1,12.83,-2.92,0,-2.93, 8.56
10.13,    56,  3136,175616,13,"4",5,1,"0",    0.58,    0.34,    0.20,1,13.03,-2.90,0,-2.91, 8.48
10.82,    27,   729, 19683,40,"4",6,1,"0",    5.00,   25.00,  125.00,1,13.67,-2.85,0,-2.85, 8.13
10.60,    60,  3600,216000,46,"4",3,2,"0",    4.00,   16.00,   64.00,1,13.24,-2.64,0,-2.65, 7.01
12.21,    45,  2025, 91125,96,"4",6,2,"1",   10.00,  100.00, 1000.00,0,14.84,-2.64,0,-2.64, 6.99
10.13,    54,  2916,157464, 7,"4",6,1,"1",    0.67,    0.44,    0.30,1,12.76,-2.63,0,-2.63, 6.94
