"log_w","poly(age, 3, raw = TRUE).1","poly(age, 3, raw = TRUE).2","poly(age, 3, raw = TRUE).3","total_hours_worked","relab","p6210","size_firm","informal","poly(exper_yrs, 3, raw = TRUE).1","poly(exper_yrs, 3, raw = TRUE).2","poly(exper_yrs, 3, raw = TRUE).3","female","pred_in","resid_in","h_ii","loo_resid","loo_sqerr","beta_influence"
11.512925,    85,  7225,614125,35,"4",3,2,"0",    30,   900, 27000,0,13.13406,-1.6211323,0.02971868,-1.6707859,2.7915255,0.013487074
11.512925,    87,  7569,658503,48,"4",3,1,"1",     3,     9,    27,0,12.59610,-1.0831709,0.03916567,-1.1273232,1.2708577,0.008460664
15.607270,    84,  7056,592704,28,"5",6,2,"1",    45,  2025, 91125,0,14.20207, 1.4051983,0.03150462, 1.4509087,2.1051360,0.005998254
14.731801,    87,  7569,658503,13,"4",6,5,"0",    25,   625, 15625,0,13.89013, 0.8416742,0.04105661, 0.8777100,0.7703748,0.005348222
16.118096,    77,  5929,456533,10,"4",6,1,"0",     7,    49,   343,0,13.30353, 2.8145684,0.00927548, 2.8409193,8.0708222,0.005071009
12.206073,    91,  8281,753571,36,"4",3,1,"1",    40,  1600, 64000,0,12.78043,-0.5743573,0.06457133,-0.6140043,0.3770013,0.004744398
14.508658,    80,  6400,512000,48,"4",3,1,"1",    20,   400,  8000,0,12.94928, 1.5593750,0.01343002, 1.5806026,2.4983044,0.004249599
14.914123,    90,  8100,729000,30,"5",6,4,"0",    60,  3600,216000,0,15.72556,-0.8114331,0.18127253,-0.9910906,0.9822606,0.003895445
15.497269,    80,  6400,512000,25,"1",5,5,"0",    40,  1600, 64000,1,13.87494, 1.6223264,0.01474469, 1.6466051,2.7113084,0.003654596
 9.903488,    77,  5929,456533, 9,"4",1,1,"1",    10,   100,  1000,0,11.93325,-2.0297610,0.00928825,-2.0487907,4.1975433,0.002943311
