"log_w","poly(age, 3, raw = TRUE).1","poly(age, 3, raw = TRUE).2","poly(age, 3, raw = TRUE).3","total_hours_worked","relab","p6210","size_firm","informal","exper_yrs","exper_yrs2","female","poly(exper_yrs, 3, raw = TRUE).1","poly(exper_yrs, 3, raw = TRUE).2","poly(exper_yrs, 3, raw = TRUE).3","pred_in","resid_in","h_ii","loo_resid","loo_sqerr"
 4.430817,    54,  2916,157464, 8,"4",6,1,"1", 5.0000000,2.500000e+01,1,5.000000e+00,2.500000e+01,1.250000e+02,13.04569,-8.614871,0.0017186126,-8.629702,74.471764
 8.517193,    38,  1444, 54872, 8,"4",6,1,"1", 1.0000000,1.000000e+00,1,1.000000e+00,1.000000e+00,1.000000e+00,12.93916,-4.421967,0.0015329575,-4.428756,19.613879
17.911520,    42,  1764, 74088,40,"1",6,5,"0", 7.0000000,4.900000e+01,1,7.000000e+00,4.900000e+01,3.430000e+02,14.47984, 3.431680,0.0009422936, 3.434916,11.798650
11.289782,    59,  3481,205379,48,"4",6,5,"0",26.0000000,6.760000e+02,1,2.600000e+01,6.760000e+02,1.757600e+04,14.57824,-3.288459,0.0050178918,-3.305044,10.923315
 9.903488,    25,   625, 15625,20,"4",6,1,"1", 3.0000000,9.000000e+00,1,3.000000e+00,9.000000e+00,2.700000e+01,12.95711,-3.053626,0.0011776124,-3.057226, 9.346632
17.147715,    45,  2025, 91125,48,"1",6,4,"1", 2.5000000,6.250000e+00,0,2.500000e+00,6.250000e+00,1.562500e+01,14.11950, 3.028215,0.0012817514, 3.032101, 9.193637
10.126631,    56,  3136,175616,13,"4",5,1,"0", 0.5833333,3.402778e-01,1,5.833333e-01,3.402778e-01,1.984954e-01,13.03840,-2.911767,0.0021305902,-2.917984, 8.514633
10.819778,    27,   729, 19683,40,"4",6,1,"0", 5.0000000,2.500000e+01,1,5.000000e+00,2.500000e+01,1.250000e+02,13.72507,-2.905296,0.0017281444,-2.910325, 8.469993
17.216708,    54,  2916,157464,32,"1",6,5,"0", 2.6666667,7.111111e+00,0,2.666667e+00,7.111111e+00,1.896296e+01,14.32907, 2.887641,0.0010615004, 2.890709, 8.356199
11.107460,    49,  2401,117649,70,"4",5,1,"1",10.0000000,1.000000e+02,0,1.000000e+01,1.000000e+02,1.000000e+03,13.97099,-2.863533,0.0010672786,-2.866593, 8.217354
17.727534,    72,  5184,373248,50,"5",6,2,"0",35.0000000,1.225000e+03,0,3.500000e+01,1.225000e+03,4.287500e+04,14.88876, 2.838769,0.0080091994, 2.861689, 8.189264
17.257530,    50,  2500,125000,40,"1",6,5,"0", 5.0000000,2.500000e+01,1,5.000000e+00,2.500000e+01,1.250000e+02,14.39977, 2.857759,0.0009268000, 2.860410, 8.181944
16.118096,    77,  5929,456533,10,"4",6,1,"0", 7.0000000,4.900000e+01,0,7.000000e+00,4.900000e+01,3.430000e+02,13.28567, 2.832427,0.0089920437, 2.858127, 8.168891
16.523561,    26,   676, 17576,48,"1",6,2,"0", 0.1666667,2.777778e-02,1,1.666667e-01,2.777778e-02,4.629630e-03,13.69607, 2.827488,0.0013198583, 2.831224, 8.015832
17.216708,    26,   676, 17576,50,"1",6,5,"0", 2.0000000,4.000000e+00,0,2.000000e+00,4.000000e+00,8.000000e+00,14.40899, 2.807718,0.0004337283, 2.808936, 7.890122
17.312018,    51,  2601,132651,48,"1",6,5,"0", 0.6666667,4.444444e-01,0,6.666667e-01,4.444444e-01,2.962963e-01,14.53691, 2.775111,0.0009980208, 2.777884, 7.716638
16.993564,    48,  2304,110592,48,"1",6,5,"1", 2.0000000,4.000000e+00,0,2.000000e+00,4.000000e+00,8.000000e+00,14.23380, 2.759765,0.0016988502, 2.764461, 7.642247
16.834105,    25,   625, 15625,48,"1",6,4,"0", 3.0000000,9.000000e+00,1,3.000000e+00,9.000000e+00,2.700000e+01,14.07743, 2.756673,0.0005653848, 2.758232, 7.607844
10.126631,    54,  2916,157464, 7,"4",6,1,"1", 0.6666667,4.444444e-01,1,6.666667e-01,4.444444e-01,2.962963e-01,12.85606,-2.729429,0.0017661823,-2.734258, 7.476166
16.118096,    25,   625, 15625,40,"4",6,1,"1", 3.0000000,9.000000e+00,0,3.000000e+00,9.000000e+00,2.700000e+01,13.39665, 2.721443,0.0009019273, 2.723900, 7.419629
